date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
04:31:58	259578/259578	---M--	200	added ('OK')	image/png	date:Tue,%2023%20Mar%202021%2001:52:58%20GMT	http://pixner.net/jugaro/jugaro/assets/images/joinus-bg2.png	R:/lancer-game/lancergame/pixner.net/jugaro/jugaro/assets/images/joinus-bg2.png	(from http://pixner.net/jugaro/jugaro/index5.html)
04:36:34	101677/101677	---M-Z	200	added ('OK')	application/javascript	date:Mon,%2005%20Apr%202021%2015:05:22%20GMT	http://pixner.net/jugaro/jugaro/assets/js/jquery.js	R:/lancer-game/lancergame/pixner.net/jugaro/jugaro/assets/js/jquery.js	(from http://pixner.net/jugaro/jugaro/index5.html)
04:36:35	19188/19188	---M-Z	200	added ('OK')	application/javascript	date:Sun,%2017%20Feb%202019%2008:40:08%20GMT	http://pixner.net/jugaro/jugaro/assets/js/popper.min.js	R:/lancer-game/lancergame/pixner.net/jugaro/jugaro/assets/js/popper.min.js	(from http://pixner.net/jugaro/jugaro/index5.html)
04:36:35	58074/58074	---M-Z	200	added ('OK')	application/javascript	date:Sun,%2017%20Feb%202019%2008:39:30%20GMT	http://pixner.net/jugaro/jugaro/assets/js/bootstrap.min.js	R:/lancer-game/lancergame/pixner.net/jugaro/jugaro/assets/js/bootstrap.min.js	(from http://pixner.net/jugaro/jugaro/index5.html)
04:36:36	615/615	---M-Z	200	added ('OK')	application/javascript	date:Sat,%2024%20Aug%202019%2003:21:30%20GMT	http://pixner.net/jugaro/jugaro/assets/js/mousemoveparallax.js	R:/lancer-game/lancergame/pixner.net/jugaro/jugaro/assets/js/mousemoveparallax.js	(from http://pixner.net/jugaro/jugaro/index5.html)
04:36:37	7495/7495	---M-Z	200	added ('OK')	application/javascript	date:Sat,%2010%20Apr%202021%2017:11:36%20GMT	http://pixner.net/jugaro/jugaro/assets/js/main.js	R:/lancer-game/lancergame/pixner.net/jugaro/jugaro/assets/js/main.js	(from http://pixner.net/jugaro/jugaro/index5.html)
04:36:37	122338/122338	---M-Z	200	added ('OK')	application/javascript	date:Mon,%2005%20Apr%202021%2015:07:06%20GMT	http://pixner.net/jugaro/jugaro/assets/js/plugin.js	R:/lancer-game/lancergame/pixner.net/jugaro/jugaro/assets/js/plugin.js	(from http://pixner.net/jugaro/jugaro/index5.html)
04:36:40	141391/141391	---M-Z	200	added ('OK')	application/javascript	date:Sat,%2024%20Aug%202019%2003:15:50%20GMT	http://pixner.net/jugaro/jugaro/assets/js/TweenMax.js	R:/lancer-game/lancergame/pixner.net/jugaro/jugaro/assets/js/TweenMax.js	(from http://pixner.net/jugaro/jugaro/index5.html)
04:36:52	74288/74288	---M--	200	added ('OK')	font/woff2	date:Fri,%2021%20Dec%202018%2010:36:38%20GMT	http://pixner.net/jugaro/jugaro/assets/fonts/fa-brands-400.woff2	R:/lancer-game/lancergame/pixner.net/jugaro/jugaro/assets/fonts/fa-brands-400.woff2	(from http://pixner.net/jugaro/jugaro/assets/css/plugin.css)
04:36:53	134396/134396	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	date:Fri,%2021%20Dec%202018%2010:36:38%20GMT	http://pixner.net/jugaro/jugaro/assets/fonts/fa-brands-400.eot	R:/lancer-game/lancergame/pixner.net/jugaro/jugaro/assets/fonts/fa-brands-400.eot	(from http://pixner.net/jugaro/jugaro/assets/css/plugin.css)
